MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
39.17796302513302,41.37376636120133,2.2248287455858553,1.5491537814509042,AutoTheta,14,T3564,0.9551428108336908
139.7571428571425,154.9539148078731,1.1509806894142913,0.7372934607579356,Naive,7,T1487,0.9914996760763503
210.49285714285685,237.97153941475528,1.7266405792564097,1.1104620768207927,Naive,14,T1487,0.9914996760763503
369.6000000000001,378.6422472843879,3.0813330772161027,1.9498371068925036,SeasonalNaive,7,T1487,0.9914996760763503
440.33571428571446,462.116369852567,3.6568006654556777,2.3230057229553607,SeasonalNaive,14,T1487,0.9914996760763503
139.7728743870118,154.96810365072304,1.1511111648427457,0.7373764529675875,AutoETS,7,T1487,0.9914996760763503
210.50858867272615,237.98545453083534,1.72677104760147,1.1105450690304446,AutoETS,14,T1487,0.9914996760763503
138.62849768498978,154.1986913063421,1.1416288463387356,0.7313392555707645,AutoTheta,7,T1487,0.9914996760763503
205.52780728056536,233.3921400488637,1.6854854028202655,1.0842687909466924,AutoTheta,14,T1487,0.9914996760763503
143.69999999999996,150.06052588396255,2.7272354945033825,0.39250817965060236,Naive,7,T1310,0.9870453035681932
135.92142857142855,143.59556051633348,2.580844425334066,0.3712614648857398,Naive,14,T1310,0.9870453035681932
131.20000000000022,140.17263845497314,2.48931206763951,0.35836515776032796,SeasonalNaive,7,T1310,0.9870453035681932
127.00714285714301,136.988114708644,2.411047641398881,0.3469126127034184,SeasonalNaive,14,T1310,0.9870453035681932
132.3016476043966,140.25189950197526,2.5079835294796244,0.36137424402211,AutoETS,7,T1310,0.9870453035681932
114.55166892360369,125.1242148031039,2.170304528860717,0.31289121117009167,AutoETS,14,T1310,0.9870453035681932
143.75189530276086,149.71432518214849,2.7282783967563424,0.3926499286472558,AutoTheta,7,T1310,0.9870453035681932
135.75743184161345,143.36564319759682,2.5777266374535093,0.37081351737085894,AutoTheta,14,T1310,0.9870453035681932
75.75714285714275,112.73880685650572,0.4493029012363191,0.4184990795667274,Naive,7,T681,0.9940521375701602
59.521428571428,90.3898263870757,0.35369917630529096,0.32880943145667646,Naive,14,T681,0.9940521375701602
237.51428571428656,291.51370955264457,1.42289527152175,1.3120810290168665,SeasonalNaive,7,T681,0.9940521375701602
205.70714285714323,261.95735885281664,1.2341983910266032,1.1363713928382255,SeasonalNaive,14,T681,0.9940521375701602
77.24370728055354,112.67298541424606,0.4581548708747882,0.42671118761952465,AutoETS,7,T681,0.9940521375701602
